timestamp,acc_bias_x,acc_bias_y,acc_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z
1757074450.000000000,0.162444401,0.028533863,-0.041121941,0.015449587,0.000425334,-0.004681555
1757074451.000000000,0.162186723,0.027192883,-0.041251911,0.001533017,-0.000868530,0.005625603
1757074452.000000000,0.157947667,0.026438697,-0.044834016,0.013730367,-0.000973193,0.097477542
1757074453.000000000,0.190286296,-0.204897385,-0.049167537,-0.005840091,0.001177171,-0.038423989
1757074454.000000000,-0.037915131,-0.281782053,-0.016090118,-0.051345413,-0.005727702,-0.310630488
1757074455.000000000,-0.529096706,-0.956353025,0.124125736,-0.001172516,0.000685298,-0.003114749
1757074456.000000000,-0.041019749,-0.797971766,0.010267948,0.005140420,0.002848885,0.027161014
1757074457.000000000,-0.601231384,0.047987886,0.087594445,-0.046111273,0.003858848,-0.211927240
1757074458.000000000,-0.515504321,0.179086475,0.070917479,-0.046156193,0.004397651,-0.208164890
1757074459.000000000,-0.725800323,0.417681163,0.138985331,-0.039556945,0.009034560,-0.146126476
1757074460.000000000,-0.734156249,0.026984219,0.133886883,-0.024480599,0.000221543,-0.086072983
1757074461.000000000,-0.692090865,0.151589200,0.126773879,-0.031838069,0.004112892,-0.117468288
1757074462.000000000,-0.664593727,0.163154044,0.116443698,-0.033080630,0.004018859,-0.124710807
1757074463.000000000,-0.711860442,0.101492257,0.130314828,-0.030345957,0.001849423,-0.110590808
1757074464.000000000,-0.707650865,0.084381736,0.128308519,-0.023852040,0.000514254,-0.088782356
1757074465.000000000,-0.694099268,0.072974737,0.123031989,-0.021929656,-0.000058086,-0.083641194
1757074466.000000000,-0.719220027,0.184964727,0.132190143,-0.021316747,0.000803382,-0.080995888
1757074467.000000000,-0.694130776,0.182590972,0.123991617,-0.020852185,0.001099998,-0.080955435
1757074468.000000000,-0.699961430,0.201267375,0.125283044,-0.021867814,0.001547413,-0.083627671
1757074469.000000000,-0.673451914,0.099514349,0.115129416,-0.011790925,-0.001120579,-0.046281261
1757074470.000000000,-0.558994330,0.053373802,0.081475259,-0.002705381,-0.002148527,-0.012670625
1757074471.000000000,-0.493797217,0.045124087,0.063457299,-0.003626527,-0.001570719,-0.019111704
1757074472.000000000,-0.473926573,0.043061790,0.057811621,-0.003365473,-0.001689191,-0.018543746
1757074473.000000000,-0.455362907,0.036955409,0.052544856,-0.002851670,-0.001696128,-0.015348050
1757074474.000000000,-0.453747195,0.035828827,0.052031966,-0.002935795,-0.001649092,-0.014109834
1757074475.000000000,-0.457454228,0.060806402,0.053561118,-0.002794126,-0.001041957,-0.013357416
1757074476.000000000,-0.470422867,0.066098424,0.057213002,-0.002977649,-0.000986435,-0.013592180
1757074477.000000000,-0.483685687,0.059845699,0.060820923,-0.002778562,-0.001167157,-0.012539566
1757074478.000000000,-0.498202087,0.053204498,0.064727500,-0.002641957,-0.001430634,-0.011368541
1757074479.000000000,-0.489583015,0.056105501,0.062470055,-0.002816904,-0.001146834,-0.012993338
1757074480.000000000,-0.489141555,0.055501308,0.062338011,-0.002724274,-0.001132946,-0.012365242
1757074481.000000000,-0.497525618,0.059902024,0.064661791,-0.002880908,-0.001250914,-0.013023660
1757074482.000000000,-0.506994583,0.064614379,0.067275234,-0.003120313,-0.001181209,-0.013481966
1757074483.000000000,-0.489229335,0.064162946,0.062505057,-0.002072586,-0.001274768,-0.010553192
1757074484.000000000,-0.490198066,0.063940013,0.062721034,-0.002442479,-0.001261620,-0.011486132
1757074485.000000000,-0.502175722,0.066829793,0.065924845,-0.001938724,-0.001275883,-0.010524221
1757074486.000000000,-0.515296748,0.063982072,0.069257205,-0.001901325,-0.000943035,-0.008850754
1757074487.000000000,-0.523476704,0.060960641,0.071322831,-0.001889872,-0.000844605,-0.008284826
1757074488.000000000,-0.528393750,0.050962839,0.072387121,-0.001675184,-0.001274748,-0.007489502
1757074489.000000000,-0.506175427,0.079242464,0.067247351,-0.000472696,-0.001004907,-0.003355242
1757074490.000000000,-0.481822733,0.119784381,0.061873956,-0.000491654,-0.000773135,-0.003429436
1757074491.000000000,-0.511705775,0.071555621,0.068461754,-0.000670105,-0.000912730,-0.002528505
1757074492.000000000,-0.505399263,0.087568514,0.067220588,-0.000594164,-0.000974080,-0.000900496
1757074493.000000000,-0.524881846,0.037839685,0.070984480,-0.000815728,-0.001172792,-0.001446521
1757074494.000000000,-0.539652493,0.020419551,0.074272328,-0.000691253,-0.001271154,-0.001649875
1757074495.000000000,-0.537693316,0.024706700,0.073882162,-0.000712032,-0.001206502,-0.001289652
1757074496.000000000,-0.523546747,0.047641863,0.070898158,-0.000614967,-0.001242131,-0.001443218
1757074497.000000000,-0.506248275,0.086504219,0.067418235,-0.000986976,-0.001047603,-0.003081694
1757074498.000000000,-0.528781258,0.046661243,0.072159864,-0.001192214,-0.000958801,-0.004129645
1757074499.000000000,-0.511593279,0.073769227,0.068471373,-0.000797071,-0.001047446,-0.002717882
1757074500.000000000,-0.491896390,0.110750034,0.064346046,-0.000785434,-0.000788579,-0.002627676
1757074501.000000000,-0.509092916,0.080067026,0.067920908,-0.000687304,-0.000950482,0.000149488
1757074502.000000000,-0.503456531,0.087927914,0.066727209,-0.000483304,-0.001064764,-0.000224282
1757074503.000000000,-0.504237800,0.063080660,0.066639929,-0.000628923,-0.000944359,-0.000475300
1757074504.000000000,-0.508576285,0.038566175,0.067318240,-0.000704761,-0.001066647,-0.000782762
1757074505.000000000,-0.514412668,0.031117847,0.068560261,-0.000772620,-0.001286522,-0.001067045
1757074506.000000000,-0.504134214,0.044433563,0.066376804,-0.000581188,-0.001174645,-0.000468084
1757074507.000000000,-0.494325994,0.073421521,0.064532177,-0.000167915,-0.001115945,0.000858929
1757074508.000000000,-0.489577764,0.076931169,0.063540608,-0.000157474,-0.000930184,0.001044131
1757074509.000000000,-0.479475191,0.111333520,0.061770846,-0.000099690,-0.000995400,0.001014402
1757074510.000000000,-0.476921833,0.138387540,0.061581797,-0.000053841,-0.000485312,0.002401141
1757074511.000000000,-0.470536518,0.196475484,0.060994107,-0.000006947,-0.000507142,0.002107300
1757074512.000000000,-0.475203719,0.159993954,0.061533945,0.000122441,-0.000363122,0.003461574
1757074513.000000000,-0.473601114,0.152787032,0.061095991,0.000166685,-0.001037713,0.003346874
1757074514.000000000,-0.470644405,0.183395895,0.060786353,0.000363783,-0.001110480,0.003611616
1757074515.000000000,-0.473388120,0.155660744,0.061109257,0.000350275,-0.001197968,0.003549319
1757074516.000000000,-0.462272436,0.157887120,0.058742954,0.000484055,-0.001151213,0.003733557
1757074517.000000000,-0.462357275,0.143652745,0.058600097,0.001364842,-0.001333633,0.004745508
1757074518.000000000,-0.460041315,0.094759107,0.057486381,0.001394875,-0.001652937,0.003992762
1757074519.000000000,-0.454210297,0.042924743,0.055595948,0.001276960,-0.001760361,0.003594488
1757074520.000000000,-0.457408543,-0.000007193,0.055588993,0.000865551,-0.001934254,0.003620653
1757074521.000000000,-0.456328784,-0.065959153,0.054439062,0.000550373,-0.001922646,0.003935693
1757074522.000000000,-0.458209065,-0.013432253,0.055594182,0.000388864,-0.001451495,0.003733605
1757074523.000000000,-0.458974749,-0.007168215,0.055853663,0.000016765,-0.001258465,0.003288378
1757074524.000000000,-0.457145544,-0.026455780,0.055164655,0.000476901,-0.000870019,0.003019774
1757074525.000000000,-0.455403546,-0.043521361,0.054702405,0.000763793,-0.000752786,0.002954087
1757074526.000000000,-0.453839831,-0.058089582,0.054278409,0.000720475,-0.000971135,0.003043888
1757074527.000000000,-0.451955677,-0.071711932,0.053811169,0.000563037,-0.000895510,0.002742848
1757074528.000000000,-0.450411369,-0.079770712,0.053535891,0.000659272,-0.000940863,0.002826578
1757074529.000000000,-0.449494398,-0.080807829,0.053376848,0.000948623,-0.000676269,0.002922914
1757074530.000000000,-0.450248422,-0.102483817,0.053273176,0.001088712,-0.000544040,0.002913220
1757074531.000000000,-0.451680375,-0.100447261,0.053537413,0.001134561,-0.000669979,0.002856620
1757074532.000000000,-0.450521474,-0.080561992,0.053685653,0.000710047,-0.000824360,0.003365003
1757074533.000000000,-0.449995519,-0.063312665,0.053938748,0.000548971,-0.000745296,0.002943687
1757074534.000000000,-0.447444057,-0.064322903,0.053569518,0.000752834,-0.000701067,0.002761080
1757074535.000000000,-0.447700153,-0.074028477,0.053392124,0.001045784,-0.000631877,0.002754433
1757074536.000000000,-0.444487323,-0.072898089,0.052981441,0.000876133,-0.000864054,0.002783724
1757074537.000000000,-0.441535419,-0.082451138,0.052308943,0.000956406,-0.000795767,0.002621705
1757074538.000000000,-0.435180501,-0.089361224,0.051233217,0.000542980,-0.000808422,0.002490765
1757074539.000000000,-0.431225272,-0.089514449,0.050663847,0.000689647,-0.000910728,0.002349777
1757074540.000000000,-0.431746983,-0.090763357,0.050702231,0.000562767,-0.001083476,0.002579922
1757074541.000000000,-0.432828739,-0.091632090,0.050793440,0.000402554,-0.000799157,0.002513651
1757074542.000000000,-0.429543173,-0.086046075,0.050495493,0.000268390,-0.000738121,0.002712307
1757074543.000000000,-0.426766164,-0.076032098,0.050380741,0.000539212,-0.000808742,0.002780363
1757074544.000000000,-0.422974232,-0.064105128,0.050117694,0.000730499,-0.000824051,0.002709917
1757074545.000000000,-0.425154255,-0.074430748,0.050155658,0.000702996,-0.000788610,0.002775395
1757074546.000000000,-0.424949524,-0.066630433,0.050388301,0.000518066,-0.000879478,0.002734579
1757074547.000000000,-0.425576900,-0.063366226,0.050612784,0.000433596,-0.000834447,0.002672835
1757074548.000000000,-0.424101491,-0.052577783,0.050775587,0.000505214,-0.001016432,0.001870320
1757074549.000000000,-0.424404804,-0.052446479,0.050841927,0.000250814,-0.000963403,0.001941834
1757074550.000000000,-0.424010884,-0.059000902,0.050530864,0.000299668,-0.000877205,0.001825068
1757074551.000000000,-0.424686638,-0.052306490,0.050827260,0.000306823,-0.000838962,0.002090482
1757074552.000000000,-0.424883878,-0.042356956,0.051278978,0.000330768,-0.000925122,0.002313802
1757074553.000000000,-0.425293078,-0.034656034,0.051628568,0.000270924,-0.000944429,0.002385389
1757074554.000000000,-0.425702509,-0.028669344,0.051906862,0.000293779,-0.001140816,0.002458107
1757074555.000000000,-0.425862584,-0.032525717,0.051806176,0.000311139,-0.000877621,0.002232633
1757074556.000000000,-0.425724762,-0.030728848,0.051840972,0.000529000,-0.000828940,0.002002955
1757074557.000000000,-0.425765251,-0.029087315,0.051909208,0.000527436,-0.001061660,0.001243347
1757074558.000000000,-0.425634239,-0.033390502,0.051735114,-0.000022221,-0.001159284,0.001464329
1757074559.000000000,-0.425631423,-0.034197486,0.051707346,0.000112081,-0.000913972,0.001332500
1757074560.000000000,-0.425083882,-0.043333370,0.051291952,0.000358739,-0.000923931,0.001384996
1757074561.000000000,-0.425385116,-0.046748282,0.051241117,0.000368414,-0.000970131,0.001114169
1757074562.000000000,-0.425880279,-0.048061919,0.051296738,0.000245954,-0.001091499,0.001239369
1757074563.000000000,-0.426613184,-0.036084372,0.051815872,0.000530858,-0.000967499,0.001545105
1757074564.000000000,-0.427784259,-0.030165688,0.052227363,0.000678567,-0.000682387,0.001379172
1757074565.000000000,-0.427977330,-0.032315815,0.052189654,0.000468089,-0.000878320,0.001134747
1757074566.000000000,-0.427274112,-0.028263328,0.052181316,0.000355037,-0.000807014,0.000542339
1757074567.000000000,-0.427735937,-0.030814293,0.052183450,0.000433088,-0.000966332,0.000703878
1757074568.000000000,-0.427200009,-0.029004274,0.052137314,0.000212857,-0.000821991,0.000649137
1757074569.000000000,-0.427511378,-0.032425873,0.052086420,0.000361610,-0.000924954,0.000401728
1757074570.000000000,-0.426935381,-0.048703791,0.051458856,0.000183894,-0.000917625,0.000363050
1757074571.000000000,-0.427253020,-0.058965801,0.051179889,0.000298357,-0.000887985,0.000703383
1757074572.000000000,-0.427961782,-0.063576229,0.051164188,0.000287147,-0.000950972,0.000682255
1757074573.000000000,-0.428831292,-0.067498460,0.051200080,0.000325879,-0.000937094,0.000724688
1757074574.000000000,-0.429727857,-0.071731998,0.051226152,0.000352264,-0.001037725,0.000655099
1757074575.000000000,-0.430583732,-0.077502199,0.051196950,0.000172849,-0.000926046,0.000533084
1757074576.000000000,-0.430047432,-0.075702528,0.051103536,0.000184501,-0.000943115,0.000313150
1757074577.000000000,-0.430148423,-0.079204656,0.050983471,0.000210337,-0.001020141,0.000338629
1757074578.000000000,-0.428665590,-0.076396073,0.050736704,0.000155547,-0.000949121,0.000492172
1757074578.000000000,-0.428665590,-0.076396073,0.050736704,0.000155547,-0.000949121,0.000492172
1757074580.000000000,-0.427919210,-0.078643269,0.050485908,0.000381425,-0.000719911,0.000352470
1757074581.000000000,-0.428329968,-0.081075279,0.050481188,0.000080246,-0.000917082,0.000305871
